Benchmark,simSeconds,simTicks,hostSeconds,simInsts,simOps,numCycles,issueRate,fuBusyRate,cpu.numInsts,cpu.cpi,cpu.ipc,branchPred.lookups,branchPred.condPredicted,branchPred.condIncorrect,branchPred.BTBLookups,branchPred.BTBHits,branchPred.BTBHitRatio,branchPred.RASUsed,branchPred.RASIncorrect,branchPred.indirectLookups,branchPred.indirectMisses,branchPred.indirectMispredicted,dcache.overallMissRate::total,dcache.overallAvgMissLatency::total,dcache.overallMshrMissRate::total,dcache.overallAvgMshrMissLatency::total,dcache.ReadReq.missRate::total,dcache.ReadReq.avgMissLatency::total,dcache.ReadReq.mshrMissRate::total,dcache.ReadReq.avgMshrMissLatency::total,dcache.WriteReq.missRate::total,dcache.WriteReq.avgMissLatency::total,dcache.WriteReq.mshrMissRate::total,dcache.prefetcher.accuracy,dcache.prefetcher.coverage,icache.overallMissRate::total,icache.overallAvgMissLatency::total,icache.overallMshrMissRate::total,icache.overallAvgMshrMissLatency::total,icache.ReadReq.missRate::total,icache.ReadReq.avgMissLatency::total,icache.ReadReq.mshrMissRate::total,icache.ReadReq.avgMshrMissLatency::total,icache.prefetcher.accuracy,icache.prefetcher.coverage,l2.overallMissRate::cpu.inst,l2.overallMissRate::cpu.data,l2.overallMissRate::cpu.dcache.prefetcher,l2.overallMissRate::cpu.icache.prefetcher,l2.overallMissRate::total,l2.overallMshrMissRate::total,l2.prefetcher.accuracy,l2.prefetcher.coverage
matrix_prog,0.000027,26593000,0.10,13716,13740,26594,0.679063,0.067169,17535,1.938903,0.515755,7992,5616,703,2916,2096,0.718793,679,1,313,257,50,0.113784,77586.645469,0.043415,99183.237500,0.071584,84268.398268,0.024481,100025.316456,0.172968,73708.542714,0.020860,0.116809,0.244048,0.078935,66912.650602,0.107941,83114.526432,0.078935,66912.650602,0.051117,69460.465116,0.415152,0.389205,0.525581,0.821705,0.973451,0.979079,0.808908,1.155172,0.240437,0.217822
median,0.000044,44253000,0.19,35575,35582,44254,0.962331,0.035480,41886,1.243963,0.803882,8045,6111,654,4873,4362,0.895136,344,0,124,117,20,0.036644,78537.037037,0.016903,90072.912409,0.016021,89964.646465,0.007363,82186.813187,0.102830,72823.232323,0.013243,0.173529,0.293532,0.032488,66333.333333,0.044400,85090.588850,0.032488,66333.333333,0.021968,70549.295775,0.444444,0.393162,0.535211,0.659722,0.954545,0.993103,0.783304,1.136767,0.284382,0.242063
multiply,0.000065,65297000,0.31,68813,68820,65298,1.206147,0.008824,78231,0.948920,1.053830,15937,14375,1020,12613,12084,0.958059,465,0,138,138,19,0.021320,77509.769094,0.008672,97973.711790,0.012881,87037.433155,0.005304,93961.038961,0.031626,72771.276596,0.003449,0.124183,0.243590,0.014320,64943.127962,0.019138,85109.925532,0.014320,64943.127962,0.009365,71753.623188,0.439614,0.397380,0.536232,0.762712,0.963964,0.993056,0.810176,1.154599,0.240695,0.217002
qsort,0.000428,428242000,2.35,396852,396859,428243,1.302672,0.006231,543686,1.079100,0.926698,144437,125268,10144,100211,99630,0.994202,846,0,155,149,20,0.007768,75372.171946,0.002030,83926.363636,0.007936,76750,0.001448,77641.434263,0.007230,70535.714286,0.000756,0.064474,0.251282,0.003525,65701.421801,0.004944,81263.510135,0.003525,65701.421801,0.002439,69095.890411,0.441748,0.383966,0.541096,0.704082,0.970588,0.986667,0.788158,1.101316,0.276632,0.231322
rsort,0.000294,294153000,1.88,610983,610990,294154,2.088715,0.005641,614048,0.481444,2.077085,13126,11780,420,10401,9826,0.944717,358,0,157,151,19,0.004412,61195.651186,0.002707,77260.793881,0.002828,53862.921348,0.001246,51505.102041,0.007869,66950.615520,0.001832,0.289773,0.383459,0.005474,62130.044843,0.007438,81429.036304,0.005474,62130.044843,0.003682,67186.666667,0.440367,0.390244,0.506667,0.471125,0.959044,1,0.718919,1.086486,0.399386,0.309524
spmv,0.000097,96871000,0.50,106037,106044,96872,1.257536,0.011238,121334,0.913568,1.094609,10149,7292,1041,6296,5751,0.913437,362,2,142,136,19,0.020626,57165.902841,0.017072,68425.177187,0.015512,48202.985075,0.009099,45127.226463,0.043384,71429.928741,0.007832,0.419277,0.425949,0.014729,65707.547170,0.020010,83611.107639,0.014729,65707.547170,0.009588,68304.347826,0.438095,0.400000,0.543478,0.297240,0.944700,0.986667,0.647946,1.040235,0.513871,0.356554
towers,0.000024,23781000,0.12,22137,22144,23782,1.074720,0.016198,25135,1.074310,0.930830,5694,2976,456,2430,1815,0.746914,983,0,151,145,20,0.058665,78706.194690,0.021805,96814.200000,0.037304,93386.363636,0.014201,102388.059701,0.079178,72064.267352,0.008549,0.088608,0.204380,0.050759,65919.642857,0.065262,83458.333333,0.050759,65919.642857,0.032404,70006.993007,0.415525,0.388889,0.545455,0.837838,0.950495,0.986207,0.820000,1.154000,0.225564,0.205011
vvadd,0.000042,41959000,0.21,56136,56143,41960,1.397927,0.030636,58388,0.747470,1.337846,6880,5573,395,4080,3496,0.856863,368,0,173,171,19,0.046942,56771.986971,0.022936,75831.057778,0.027209,52329.896907,0.011781,58898.809524,0.099440,60005.628518,0.011381,0.199405,0.369146,0.035892,61899.521531,0.049116,80958.038462,0.035892,61899.521531,0.023871,68496.402878,0.426471,0.384956,0.525180,0.460870,0.972851,0.986395,0.731343,1.101764,0.377863,0.299546
