Benchmark,simSeconds,simTicks,hostSeconds,simInsts,simOps,numCycles,issueRate,fuBusyRate,cpu.numInsts,cpu.cpi,cpu.ipc,branchPred.lookups,branchPred.condPredicted,branchPred.condIncorrect,branchPred.BTBLookups,branchPred.BTBHits,branchPred.BTBHitRatio,branchPred.RASUsed,branchPred.RASIncorrect,branchPred.indirectLookups,branchPred.indirectMisses,branchPred.indirectMispredicted,dcache.overallMissRate::total,dcache.overallAvgMissLatency::total,dcache.overallMshrMissRate::total,dcache.overallAvgMshrMissLatency::total,dcache.ReadReq.missRate::total,dcache.ReadReq.avgMissLatency::total,dcache.ReadReq.mshrMissRate::total,dcache.ReadReq.avgMshrMissLatency::total,dcache.WriteReq.missRate::total,dcache.WriteReq.avgMissLatency::total,dcache.WriteReq.mshrMissRate::total,dcache.prefetcher.accuracy,dcache.prefetcher.coverage,icache.overallMissRate::total,icache.overallAvgMissLatency::total,icache.overallMshrMissRate::total,icache.overallAvgMshrMissLatency::total,icache.ReadReq.missRate::total,icache.ReadReq.avgMissLatency::total,icache.ReadReq.mshrMissRate::total,icache.ReadReq.avgMshrMissLatency::total,l2.overallMissRate::cpu.inst,l2.overallMissRate::cpu.data,l2.overallMissRate::cpu.dcache.prefetcher,l2.overallMissRate::total,l2.overallMshrMissRate::total,l2.prefetcher.accuracy,l2.prefetcher.coverage
coremark config1,16.751986,16751986308000,70629.17,25174633242,25174633242,16751986309,1.526419,0.000075,25422588531,0.665431,1.502785,5741981083,5014624665,172616213,3297006297,3296288139,0.999782,137986233,1,26884913,7415,142292,0.000000,68292.597964,0.000000,76947.984472,0.000000,91726.708075,0.000000,95305.882353,0.000000,52030.133621,0.000000,0.144005,0.514349,0.000000,67671.366935,0.000000,59774.228768,0.000000,67671.366935,0.000000,70417.848642,0.597671,0.655556,0.601415,0.510034,1.206361,0.292505,0.507333
coremark config2,17.136217,17136216522000,110802.16,42875645976,42875645976,17136216523,2.599660,0.001219,44250021228,0.399672,2.502049,12559952678,11090604318,276423267,7480075252,7478455319,0.999783,277781573,0,68866844,171108,242298,0.000000,79806.074766,0.000000,76829.262887,0.000000,80153.374233,0.000000,85500,0.000000,79592.452830,0.000000,0.104096,0.426573,0.000000,58851.428571,0.000000,61437.007874,0.000000,58851.428571,0.000000,61437.007874,0.557087,0.634146,0.651786,0.581197,1.108262,0.379452,0.415916
